Ticker,Ex-Dividend Date,Yield,Period
ADX,8/17/2020,1.28%,quarterly
PEO,8/17/2020,3.47%,quarterly
APO,8/17/2020,4.70%,quarterly
AFT,8/17/2020,6.20%,monthly
AIF,8/17/2020,6.46%,monthly
BHB,8/17/2020,4.40%,quarterly
BGSF,8/17/2020,2.00%,quarterly
TECH,8/17/2020,0.48%,quarterly
BKH,8/17/2020,3.60%,quarterly
BKCC,8/17/2020,16.46%,quarterly
DMB,8/17/2020,4.59%,monthly
CABO,8/17/2020,0.54%,quarterly
CSL,8/17/2020,1.67%,quarterly
CRD.B,8/17/2020,2.44%,quarterly
CRD.A,8/17/2020,2.19%,quarterly
CIK,8/17/2020,9.50%,monthly
DHY,8/17/2020,9.50%,monthly
ENBL,8/17/2020,12.57%,quarterly
GNE,8/17/2020,4.02%,quarterly
HRZN,8/17/2020,13.00%,monthly
JACK,8/17/2020,2.00%,quarterly
MTRN,8/17/2020,0.80%,quarterly
NHTC,8/17/2020,13.40%,quarterly
ORA,8/17/2020,0.74%,quarterly
PSX,8/17/2020,5.62%,quarterly
PTVCA,8/17/2020,2.50%,quarterly
PTVCB,8/17/2020,2.59%,quarterly
SMM,8/17/2020,5.58%,quarterly
SXC,8/17/2020,7.40%,quarterly
SWCH,8/17/2020,1.11%,quarterly
SHYF,8/17/2020,0.55%,quarterly
TROX,8/17/2020,3.00%,quarterly
WELL,8/17/2020,4.59%,quarterly
XFLT,8/17/2020,12.00%,monthly
AFL,8/18/2020,3.09%,quarterly
AMAL,8/18/2020,2.76%,quarterly
ARMK,8/18/2020,2.10%,quarterly
ADM,8/18/2020,3.32%,quarterly
AGO,8/18/2020,3.60%,quarterly
BGCP,8/18/2020,1.49%,quarterly
BWXT,8/18/2020,1.31%,quarterly
CVX,8/18/2020,5.73%,quarterly
FOF,8/18/2020,9.90%,monthly
UTF,8/18/2020,8.50%,monthly
LDP,8/18/2020,7.70%,monthly
RQI,8/18/2020,9.00%,monthly
RNP,8/18/2020,7.90%,monthly
PSF,8/18/2020,7.70%,monthly
RFI,8/18/2020,8.00%,monthly
MIE,8/18/2020,8.50%,monthly
ED,8/18/2020,4.28%,quarterly
DK,8/18/2020,8.07%,quarterly
ETFC,8/18/2020,1.08%,quarterly
EQIX,8/18/2020,1.38%,quarterly
EURN,8/18/2020,11.00%,quarterly
EURN,8/18/2020,13.19%,quarterly
FBK,8/18/2020,1.41%,quarterly
FMX,8/18/2020,2.60%,semi-annual
FTS,8/18/2020,3.53%,quarterly
HL,8/18/2020,0.12%,quarterly
HNNA,8/18/2020,6.77%,quarterly
L,8/18/2020,0.71%,quarterly
MAC,8/18/2020,7.55%,quarterly
MAIN,8/18/2020,9.30%,monthly
MPC,8/18/2020,5.81%,quarterly
MCR,8/18/2020,8.06%,monthly
CMU,8/18/2020,4.90%,monthly
MIN,8/18/2020,9.02%,monthly
MMT,8/18/2020,8.44%,monthly
MFM,8/18/2020,4.70%,monthly
MFV,8/18/2020,10.10%,monthly
NRP,8/18/2020,17.56%,quarterly
PFLT,8/18/2020,13.12%,monthly
HNW,8/18/2020,9.50%,monthly
PHD,8/18/2020,7.71%,monthly
PHT,8/18/2020,10.24%,monthly
MAV,8/18/2020,4.77%,monthly
MHI,8/18/2020,4.44%,monthly
PHI,8/18/2020,3.90%,semi-annual
POWL,8/18/2020,3.74%,quarterly
PRMW,8/18/2020,1.70%,quarterly
RMAX,8/18/2020,2.65%,quarterly
TGT,8/18/2020,2.27%,quarterly
VMC,8/18/2020,1.14%,quarterly
WBA,8/18/2020,4.42%,quarterly
ADTN,8/19/2020,2.97%,quarterly
AMOT,8/19/2020,0.29%,quarterly
AMAT,8/19/2020,1.59%,quarterly
AVA,8/19/2020,4.23%,quarterly
IGR,8/19/2020,9.70%,monthly
CNP,8/19/2020,3.09%,quarterly
DFS,8/19/2020,3.38%,quarterly
EDUC,8/19/2020,2.38%,quarterly
ENR,8/19/2020,2.44%,quarterly
EVRG,8/19/2020,3.65%,quarterly
FDBC,8/19/2020,2.50%,quarterly
FCBP,8/19/2020,6.40%,quarterly
FWRD,8/19/2020,1.40%,quarterly
GFF,8/19/2020,1.45%,quarterly
HTBI,8/19/2020,1.99%,quarterly
LFUS,8/19/2020,1.10%,quarterly
MSFT,8/19/2020,1.05%,quarterly
MCO,8/19/2020,0.80%,quarterly
NLSN,8/19/2020,1.55%,quarterly
PROV,8/19/2020,4.60%,quarterly
RMD,8/19/2020,0.89%,quarterly
RXN,8/19/2020,1.10%,quarterly
SNA,8/19/2020,2.95%,quarterly
SUNS,8/19/2020,9.03%,monthly
SBSI,8/19/2020,4.23%,quarterly
THQ,8/19/2020,7.25%,monthly
THW,8/19/2020,9.58%,monthly
TRI,8/19/2020,2.00%,quarterly
TRU,8/19/2020,0.35%,quarterly
UMPQ,8/19/2020,7.00%,quarterly
GRA,8/19/2020,2.53%,quarterly
FAX,8/20/2020,8.00%,monthly
IAF,8/20/2020,10.10%,quarterly
FCO,8/20/2020,11.50%,monthly
ACP,8/20/2020,13.70%,monthly
AOD,8/20/2020,8.50%,monthly
AGD,8/20/2020,8.20%,monthly
AWP,8/20/2020,9.80%,monthly
ARDC,8/20/2020,9.20%,monthly
BGH,8/20/2020,10.20%,monthly
BBSI,8/20/2020,2.05%,quarterly
CLPR,8/20/2020,4.87%,quarterly
GLV,8/20/2020,13.40%,monthly
GLQ,8/20/2020,11.70%,monthly
GLO,8/20/2020,11.70%,monthly
CCOI,8/20/2020,3.57%,quarterly
CTSH,8/20/2020,1.36%,quarterly
ESXB,8/20/2020,3.82%,quarterly
CORE,8/20/2020,1.50%,quarterly
CMI,8/20/2020,2.94%,quarterly
DEX,8/20/2020,6.93%,monthly
DX,8/20/2020,10.20%,monthly
AKO.A,8/20/2020,4.00%,quarterly
AKO.B,8/20/2020,4.10%,quarterly
FSS,8/20/2020,1.08%,quarterly
FSLF,8/20/2020,7.80%,monthly
FLIR,8/20/2020,1.80%,quarterly
GHM,8/20/2020,3.08%,quarterly
HE,8/20/2020,3.80%,quarterly
HCI,8/20/2020,3.60%,quarterly
HCSG,8/20/2020,3.10%,quarterly
HSY,8/20/2020,2.26%,quarterly
IEP,8/20/2020,14.40%,quarterly
LTC,8/20/2020,6.00%,monthly
MGU,8/20/2020,1.64%,quarterly
MGA,8/20/2020,3.20%,quarterly
MGPI,8/20/2020,1.34%,quarterly
MCHP,8/20/2020,1.37%,quarterly
MTX,8/20/2020,0.40%,quarterly
MIXT,8/20/2020,1.90%,quarterly
OTIS,8/20/2020,1.30%,quarterly
PRK,8/20/2020,5.90%,quarterly
PCSB,8/20/2020,1.30%,quarterly
PBI,8/20/2020,4.52%,quarterly
PRI,8/20/2020,1.22%,quarterly
PUK,8/20/2020,1.90%,semi-annual
UTG,8/20/2020,7.00%,monthly
SWM,8/20/2020,5.33%,quarterly
SHW,8/20/2020,0.86%,quarterly
TEL,8/20/2020,2.13%,quarterly
TTEK,8/20/2020,0.76%,quarterly
TKR,8/20/2020,2.10%,quarterly
WD,8/20/2020,2.81%,quarterly
MMM,8/21/2020,3.58%,quarterly
AEG,8/21/2020,2.10%,semi-annual
ALSN,8/21/2020,1.80%,quarterly
ATO,8/21/2020,2.22%,quarterly
EMO,8/21/2020,10.02%,quarterly
CTR,8/21/2020,10.99%,quarterly
CEM,8/21/2020,11.09%,quarterly
DLX,8/21/2020,4.10%,quarterly
EVT,8/21/2020,8.85%,monthly
EVM,8/21/2020,4.30%,monthly
EFF,8/21/2020,5.23%,monthly
EFT,8/21/2020,6.26%,monthly
ETX,8/21/2020,3.92%,monthly
EIM,8/21/2020,4.50%,monthly
ENX,8/21/2020,4.30%,monthly
ETJ,8/21/2020,9.17%,monthly
EFR,8/21/2020,6.67%,monthly
EVG,8/21/2020,7.87%,monthly
ETV,8/21/2020,9.35%,monthly
ETY,8/21/2020,9.01%,monthly
ETO,8/21/2020,7.91%,monthly
ETG,8/21/2020,8.07%,monthly
ETB,8/21/2020,9.36%,monthly
ETW,8/21/2020,9.83%,monthly
EXG,8/21/2020,9.75%,monthly
FHB,8/21/2020,5.90%,quarterly
FGB,8/21/2020,10.71%,quarterly
DFP,8/21/2020,7.80%,monthly
PFD,8/21/2020,6.80%,monthly
FLC,8/21/2020,7.50%,monthly
FFC,8/21/2020,7.40%,monthly
GLAD,8/21/2020,10.60%,monthly
GOOD,8/21/2020,8.30%,monthly
GAIN,8/21/2020,8.40%,monthly
LAND,8/21/2020,3.40%,monthly
HVT,8/21/2020,4.49%,quarterly
HVT.A,8/21/2020,4.25%,quarterly
JBT,8/21/2020,0.40%,quarterly
MFD,8/21/2020,9.52%,quarterly
HIE,8/21/2020,7.90%,monthly
MKSI,8/21/2020,0.60%,quarterly
MNRO,8/21/2020,1.80%,quarterly
NATH,8/21/2020,2.80%,quarterly
NLOK,8/21/2020,2.26%,quarterly
PIM,8/21/2020,8.50%,monthly
PMO,8/21/2020,4.60%,monthly
PPT,8/21/2020,8.70%,monthly
RDN,8/21/2020,3.23%,quarterly
R,8/21/2020,5.96%,quarterly
TIPT,8/21/2020,2.98%,quarterly
TEAF,8/21/2020,8.50%,monthly
TTP,8/21/2020,4.43%,quarterly
TPZ,8/21/2020,6.49%,monthly
TSCO,8/21/2020,1.10%,quarterly
UPS,8/21/2020,2.52%,quarterly
WSTG,8/21/2020,3.07%,quarterly
EMD,8/21/2020,10.30%,monthly
GDO,8/21/2020,7.60%,monthly
EHI,8/21/2020,9.00%,monthly
HIX,8/21/2020,10.30%,monthly
HYI,8/21/2020,8.30%,monthly
WIA,8/21/2020,3.20%,monthly
SBI,8/21/2020,3.40%,monthly
PAI,8/21/2020,4.20%,monthly
MMU,8/21/2020,4.70%,monthly
DMO,8/21/2020,11.80%,monthly
MTT,8/21/2020,3.30%,monthly
MHF,8/21/2020,4.20%,monthly
MNP,8/21/2020,4.20%,monthly
WEA,8/21/2020,6.10%,monthly
GFY,8/21/2020,6.30%,monthly
HIO,8/21/2020,8.70%,monthly
WIW,8/21/2020,3.50%,monthly
STZ.B,8/10/2020,1.50%,quarterly
STZ,8/10/2020,1.71%,quarterly
EBTC,8/10/2020,3.17%,quarterly
EQH,8/10/2020,3.30%,quarterly
GORO,8/10/2020,0.80%,monthly
HBI,8/10/2020,3.93%,quarterly
HBT,8/10/2020,4.90%,quarterly
KMT,8/10/2020,2.81%,quarterly
MCBC,8/10/2020,4.44%,quarterly
MTG,8/10/2020,2.90%,quarterly
PCAR,8/10/2020,1.66%,quarterly
PZZA,8/10/2020,0.90%,quarterly
PGC,8/10/2020,1.20%,quarterly
SWKS,8/10/2020,1.48%,quarterly
SGC,8/10/2020,2.30%,quarterly
SSSS,8/10/2020,4.80%,monthly
CG,8/10/2020,3.70%,quarterly
UIHC,8/10/2020,3.18%,quarterly
